"","periodCode","periodDescription","transactionTypeCode","transactionTypeDescription","valueBinCode","valueBinDescription","measureCode","measureCodeDescription","dataValue","lowBin","highBin","baseYear"
"11890","YE20190331","Year ending 31 March 2019","RE","Residential",20,"£95,001 to £100,000","D","Tax due (£ million)",1.1,95001,1e+05,2019
"11981","YE20190331","Year ending 31 March 2019","RE","Residential",20,"£95,001 to £100,000","V","Property value taxed (£ million)",137,95001,1e+05,2019
"11800","YE20190331","Year ending 31 March 2019","RE","Residential",21,"£100,001 to £105,000","C","Number of transactions",1160,100001,105000,2019
"11891","YE20190331","Year ending 31 March 2019","RE","Residential",21,"£100,001 to £105,000","D","Tax due (£ million)",1,100001,105000,2019
"11982","YE20190331","Year ending 31 March 2019","RE","Residential",21,"£100,001 to £105,000","V","Property value taxed (£ million)",120,100001,105000,2019
"11801","YE20190331","Year ending 31 March 2019","RE","Residential",22,"£105,001 to £110,000","C","Number of transactions",1350,105001,110000,2019
"11892","YE20190331","Year ending 31 March 2019","RE","Residential",22,"£105,001 to £110,000","D","Tax due (£ million)",1.1,105001,110000,2019
"11983","YE20190331","Year ending 31 March 2019","RE","Residential",22,"£105,001 to £110,000","V","Property value taxed (£ million)",147,105001,110000,2019
"11802","YE20190331","Year ending 31 March 2019","RE","Residential",23,"£110,001 to £115,000","C","Number of transactions",1430,110001,115000,2019
"11893","YE20190331","Year ending 31 March 2019","RE","Residential",23,"£110,001 to £115,000","D","Tax due (£ million)",1.1,110001,115000,2019
"11984","YE20190331","Year ending 31 March 2019","RE","Residential",23,"£110,001 to £115,000","V","Property value taxed (£ million)",162,110001,115000,2019
"11803","YE20190331","Year ending 31 March 2019","RE","Residential",24,"£115,001 to £120,000","C","Number of transactions",1660,115001,120000,2019
"11894","YE20190331","Year ending 31 March 2019","RE","Residential",24,"£115,001 to £120,000","D","Tax due (£ million)",1.3,115001,120000,2019
"11985","YE20190331","Year ending 31 March 2019","RE","Residential",24,"£115,001 to £120,000","V","Property value taxed (£ million)",197,115001,120000,2019
"11804","YE20190331","Year ending 31 March 2019","RE","Residential",25,"£120,001 to £125,000","C","Number of transactions",1610,120001,125000,2019
"11895","YE20190331","Year ending 31 March 2019","RE","Residential",25,"£120,001 to £125,000","D","Tax due (£ million)",1.4,120001,125000,2019
"11986","YE20190331","Year ending 31 March 2019","RE","Residential",25,"£120,001 to £125,000","V","Property value taxed (£ million)",200,120001,125000,2019
"11805","YE20190331","Year ending 31 March 2019","RE","Residential",26,"£125,001 to £130,000","C","Number of transactions",1750,125001,130000,2019
"11896","YE20190331","Year ending 31 March 2019","RE","Residential",26,"£125,001 to £130,000","D","Tax due (£ million)",1.3,125001,130000,2019
"11987","YE20190331","Year ending 31 March 2019","RE","Residential",26,"£125,001 to £130,000","V","Property value taxed (£ million)",226,125001,130000,2019
"11806","YE20190331","Year ending 31 March 2019","RE","Residential",27,"£130,001 to £135,000","C","Number of transactions",1440,130001,135000,2019
"11897","YE20190331","Year ending 31 March 2019","RE","Residential",27,"£130,001 to £135,000","D","Tax due (£ million)",1.1,130001,135000,2019
"11988","YE20190331","Year ending 31 March 2019","RE","Residential",27,"£130,001 to £135,000","V","Property value taxed (£ million)",192,130001,135000,2019
"11807","YE20190331","Year ending 31 March 2019","RE","Residential",28,"£135,001 to £140,000","C","Number of transactions",1580,135001,140000,2019
"11898","YE20190331","Year ending 31 March 2019","RE","Residential",28,"£135,001 to £140,000","D","Tax due (£ million)",1.3,135001,140000,2019
"11989","YE20190331","Year ending 31 March 2019","RE","Residential",28,"£135,001 to £140,000","V","Property value taxed (£ million)",219,135001,140000,2019
"11808","YE20190331","Year ending 31 March 2019","RE","Residential",29,"£140,001 to £145,000","C","Number of transactions",1250,140001,145000,2019
"11899","YE20190331","Year ending 31 March 2019","RE","Residential",29,"£140,001 to £145,000","D","Tax due (£ million)",0.9,140001,145000,2019
"11990","YE20190331","Year ending 31 March 2019","RE","Residential",29,"£140,001 to £145,000","V","Property value taxed (£ million)",180,140001,145000,2019
"11809","YE20190331","Year ending 31 March 2019","RE","Residential",30,"£145,001 to £150,000","C","Number of transactions",1610,145001,150000,2019
"11900","YE20190331","Year ending 31 March 2019","RE","Residential",30,"£145,001 to £150,000","D","Tax due (£ million)",1.4,145001,150000,2019
"11991","YE20190331","Year ending 31 March 2019","RE","Residential",30,"£145,001 to £150,000","V","Property value taxed (£ million)",240,145001,150000,2019
"11810","YE20190331","Year ending 31 March 2019","RE","Residential",31,"£150,001 to £155,000","C","Number of transactions",1220,150001,155000,2019
"11901","YE20190331","Year ending 31 March 2019","RE","Residential",31,"£150,001 to £155,000","D","Tax due (£ million)",0.9,150001,155000,2019
"11992","YE20190331","Year ending 31 March 2019","RE","Residential",31,"£150,001 to £155,000","V","Property value taxed (£ million)",187,150001,155000,2019
"11811","YE20190331","Year ending 31 March 2019","RE","Residential",32,"£155,001 to £160,000","C","Number of transactions",1390,155001,160000,2019
"11902","YE20190331","Year ending 31 March 2019","RE","Residential",32,"£155,001 to £160,000","D","Tax due (£ million)",1.1,155001,160000,2019
"11993","YE20190331","Year ending 31 March 2019","RE","Residential",32,"£155,001 to £160,000","V","Property value taxed (£ million)",221,155001,160000,2019
"11812","YE20190331","Year ending 31 March 2019","RE","Residential",33,"£160,001 to £165,000","C","Number of transactions",1250,160001,165000,2019
"11903","YE20190331","Year ending 31 March 2019","RE","Residential",33,"£160,001 to £165,000","D","Tax due (£ million)",1,160001,165000,2019
"11994","YE20190331","Year ending 31 March 2019","RE","Residential",33,"£160,001 to £165,000","V","Property value taxed (£ million)",204,160001,165000,2019
"11813","YE20190331","Year ending 31 March 2019","RE","Residential",34,"£165,001 to £170,000","C","Number of transactions",1230,165001,170000,2019
"11904","YE20190331","Year ending 31 March 2019","RE","Residential",34,"£165,001 to £170,000","D","Tax due (£ million)",1.1,165001,170000,2019
"11995","YE20190331","Year ending 31 March 2019","RE","Residential",34,"£165,001 to £170,000","V","Property value taxed (£ million)",207,165001,170000,2019
"11814","YE20190331","Year ending 31 March 2019","RE","Residential",35,"£170,001 to £175,000","C","Number of transactions",1150,170001,175000,2019
"11905","YE20190331","Year ending 31 March 2019","RE","Residential",35,"£170,001 to £175,000","D","Tax due (£ million)",0.9,170001,175000,2019
"11996","YE20190331","Year ending 31 March 2019","RE","Residential",35,"£170,001 to £175,000","V","Property value taxed (£ million)",199,170001,175000,2019
"11815","YE20190331","Year ending 31 March 2019","RE","Residential",36,"£175,001 to £180,000","C","Number of transactions",1170,175001,180000,2019
"11906","YE20190331","Year ending 31 March 2019","RE","Residential",36,"£175,001 to £180,000","D","Tax due (£ million)",1.1,175001,180000,2019
"11997","YE20190331","Year ending 31 March 2019","RE","Residential",36,"£175,001 to £180,000","V","Property value taxed (£ million)",209,175001,180000,2019
"11816","YE20190331","Year ending 31 March 2019","RE","Residential",37,"£180,001 to £185,000","C","Number of transactions",960,180001,185000,2019
"11907","YE20190331","Year ending 31 March 2019","RE","Residential",37,"£180,001 to £185,000","D","Tax due (£ million)",0.9,180001,185000,2019
"11998","YE20190331","Year ending 31 March 2019","RE","Residential",37,"£180,001 to £185,000","V","Property value taxed (£ million)",177,180001,185000,2019
"11817","YE20190331","Year ending 31 March 2019","RE","Residential",38,"£185,001 to £190,000","C","Number of transactions",970,185001,190000,2019
"11908","YE20190331","Year ending 31 March 2019","RE","Residential",38,"£185,001 to £190,000","D","Tax due (£ million)",1.1,185001,190000,2019
"11999","YE20190331","Year ending 31 March 2019","RE","Residential",38,"£185,001 to £190,000","V","Property value taxed (£ million)",183,185001,190000,2019
"11818","YE20190331","Year ending 31 March 2019","RE","Residential",39,"£190,001 to £195,000","C","Number of transactions",810,190001,195000,2019
"11909","YE20190331","Year ending 31 March 2019","RE","Residential",39,"£190,001 to £195,000","D","Tax due (£ million)",1,190001,195000,2019
"12000","YE20190331","Year ending 31 March 2019","RE","Residential",39,"£190,001 to £195,000","V","Property value taxed (£ million)",156,190001,195000,2019
"11819","YE20190331","Year ending 31 March 2019","RE","Residential",40,"£195,001 to £200,000","C","Number of transactions",860,195001,2e+05,2019
"11910","YE20190331","Year ending 31 March 2019","RE","Residential",40,"£195,001 to £200,000","D","Tax due (£ million)",1.3,195001,2e+05,2019
"12001","YE20190331","Year ending 31 March 2019","RE","Residential",40,"£195,001 to £200,000","V","Property value taxed (£ million)",171,195001,2e+05,2019
"11820","YE20190331","Year ending 31 March 2019","RE","Residential",41,"£200,001 to £205,000","C","Number of transactions",590,200001,205000,2019
"11911","YE20190331","Year ending 31 March 2019","RE","Residential",41,"£200,001 to £205,000","D","Tax due (£ million)",1,200001,205000,2019
"12002","YE20190331","Year ending 31 March 2019","RE","Residential",41,"£200,001 to £205,000","V","Property value taxed (£ million)",121,200001,205000,2019
"11821","YE20190331","Year ending 31 March 2019","RE","Residential",42,"£205,001 to £210,000","C","Number of transactions",770,205001,210000,2019
"11912","YE20190331","Year ending 31 March 2019","RE","Residential",42,"£205,001 to £210,000","D","Tax due (£ million)",1.5,205001,210000,2019
"12003","YE20190331","Year ending 31 March 2019","RE","Residential",42,"£205,001 to £210,000","V","Property value taxed (£ million)",161,205001,210000,2019
"11822","YE20190331","Year ending 31 March 2019","RE","Residential",43,"£210,001 to £215,000","C","Number of transactions",630,210001,215000,2019
"11913","YE20190331","Year ending 31 March 2019","RE","Residential",43,"£210,001 to £215,000","D","Tax due (£ million)",1.3,210001,215000,2019
"12004","YE20190331","Year ending 31 March 2019","RE","Residential",43,"£210,001 to £215,000","V","Property value taxed (£ million)",134,210001,215000,2019
"11823","YE20190331","Year ending 31 March 2019","RE","Residential",44,"£215,001 to £220,000","C","Number of transactions",800,215001,220000,2019
"11914","YE20190331","Year ending 31 March 2019","RE","Residential",44,"£215,001 to £220,000","D","Tax due (£ million)",1.9,215001,220000,2019
"12005","YE20190331","Year ending 31 March 2019","RE","Residential",44,"£215,001 to £220,000","V","Property value taxed (£ million)",175,215001,220000,2019
"11824","YE20190331","Year ending 31 March 2019","RE","Residential",45,"£220,001 to £225,000","C","Number of transactions",650,220001,225000,2019
"11915","YE20190331","Year ending 31 March 2019","RE","Residential",45,"£220,001 to £225,000","D","Tax due (£ million)",1.5,220001,225000,2019
"12006","YE20190331","Year ending 31 March 2019","RE","Residential",45,"£220,001 to £225,000","V","Property value taxed (£ million)",146,220001,225000,2019
"11825","YE20190331","Year ending 31 March 2019","RE","Residential",46,"£225,001 to £230,000","C","Number of transactions",690,225001,230000,2019
"11916","YE20190331","Year ending 31 March 2019","RE","Residential",46,"£225,001 to £230,000","D","Tax due (£ million)",1.9,225001,230000,2019
"12007","YE20190331","Year ending 31 March 2019","RE","Residential",46,"£225,001 to £230,000","V","Property value taxed (£ million)",159,225001,230000,2019
"11826","YE20190331","Year ending 31 March 2019","RE","Residential",47,"£230,001 to £235,000","C","Number of transactions",560,230001,235000,2019
"11917","YE20190331","Year ending 31 March 2019","RE","Residential",47,"£230,001 to £235,000","D","Tax due (£ million)",1.5,230001,235000,2019
"12008","YE20190331","Year ending 31 March 2019","RE","Residential",47,"£230,001 to £235,000","V","Property value taxed (£ million)",131,230001,235000,2019
"11827","YE20190331","Year ending 31 March 2019","RE","Residential",48,"£235,001 to £240,000","C","Number of transactions",630,235001,240000,2019
"11918","YE20190331","Year ending 31 March 2019","RE","Residential",48,"£235,001 to £240,000","D","Tax due (£ million)",1.9,235001,240000,2019
"12009","YE20190331","Year ending 31 March 2019","RE","Residential",48,"£235,001 to £240,000","V","Property value taxed (£ million)",150,235001,240000,2019
"11828","YE20190331","Year ending 31 March 2019","RE","Residential",49,"£240,001 to £245,000","C","Number of transactions",520,240001,245000,2019
"11919","YE20190331","Year ending 31 March 2019","RE","Residential",49,"£240,001 to £245,000","D","Tax due (£ million)",1.7,240001,245000,2019
"12010","YE20190331","Year ending 31 March 2019","RE","Residential",49,"£240,001 to £245,000","V","Property value taxed (£ million)",127,240001,245000,2019
"11829","YE20190331","Year ending 31 March 2019","RE","Residential",50,"£245,001 to £250,000","C","Number of transactions",730,245001,250000,2019
"11920","YE20190331","Year ending 31 March 2019","RE","Residential",50,"£245,001 to £250,000","D","Tax due (£ million)",2.5,245001,250000,2019
"12011","YE20190331","Year ending 31 March 2019","RE","Residential",50,"£245,001 to £250,000","V","Property value taxed (£ million)",182,245001,250000,2019
"11830","YE20190331","Year ending 31 March 2019","RE","Residential",51,"£250,001 to £255,000","C","Number of transactions",340,250001,255000,2019
"11921","YE20190331","Year ending 31 March 2019","RE","Residential",51,"£250,001 to £255,000","D","Tax due (£ million)",1.2,250001,255000,2019
